split,scenario_id,source_file,scenario_type,node_id,signal_col,label_col,window_id,window_size,start_idx,end_idx,start_time_s,end_time_s,y_true,node_is_N2,node_is_N8,node_is_N9,local_t-23,local_t-22,local_t-21,local_t-20,local_t-19,local_t-18,local_t-17,local_t-16,local_t-15,local_t-14,local_t-13,local_t-12,local_t-11,local_t-10,local_t-9,local_t-8,local_t-7,local_t-6,local_t-5,local_t-4,local_t-3,local_t-2,local_t-1,local_t-0
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_10_33,24,10,33,6000,19800,0,1,0,0,11.16,11.16,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0,29.0,29.0,53.527,53.527,53.527,53.527
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_11_34,24,11,34,6600,20400,0,1,0,0,11.16,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0,29.0,29.0,53.527,53.527,53.527,53.527,53.527
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_12_35,24,12,35,7200,21000,0,1,0,0,6.295,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0,29.0,29.0,53.527,53.527,53.527,53.527,53.527,53.527
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_13_36,24,13,36,7800,21600,0,1,0,0,6.3092,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0,29.0,29.0,53.527,53.527,53.527,53.527,53.527,53.527,66.888
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_14_37,24,14,37,8400,22200,0,1,0,0,6.295,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0,29.0,29.0,53.527,53.527,53.527,53.527,53.527,53.527,66.888,66.888
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_15_38,24,15,38,9000,22800,0,1,0,0,6.3046,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0,29.0,29.0,53.527,53.527,53.527,53.527,53.527,53.527,66.888,66.888,66.888
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_16_39,24,16,39,9600,23400,0,1,0,0,6.3024,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0,29.0,29.0,53.527,53.527,53.527,53.527,53.527,53.527,66.888,66.888,66.888,66.888
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_17_40,24,17,40,10200,24000,0,1,0,0,6.3035,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0,29.0,29.0,53.527,53.527,53.527,53.527,53.527,53.527,66.888,66.888,66.888,66.888,66.888
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_18_41,24,18,41,10800,24600,0,1,0,0,5.6645,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0,29.0,29.0,53.527,53.527,53.527,53.527,53.527,53.527,66.888,66.888,66.888,66.888,66.888,66.888
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_19_42,24,19,42,11400,25200,0,1,0,0,5.6629,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0,29.0,29.0,53.527,53.527,53.527,53.527,53.527,53.527,66.888,66.888,66.888,66.888,66.888,66.888,86.5
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_20_43,24,20,43,12000,25800,0,1,0,0,5.6629,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0,29.0,29.0,53.527,53.527,53.527,53.527,53.527,53.527,66.888,66.888,66.888,66.888,66.888,66.888,86.5,86.5
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_21_44,24,21,44,12600,26400,0,1,0,0,5.6626,5.656,5.6648,29.0,29.0,29.0,29.0,29.0,29.0,53.527,53.527,53.527,53.527,53.527,53.527,66.888,66.888,66.888,66.888,66.888,66.888,86.5,86.5,86.5
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_22_45,24,22,45,13200,27000,0,1,0,0,5.656,5.6648,29.0,29.0,29.0,29.0,29.0,29.0,53.527,53.527,53.527,53.527,53.527,53.527,66.888,66.888,66.888,66.888,66.888,66.888,86.5,86.5,86.5,86.5
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_23_46,24,23,46,13800,27600,0,1,0,0,5.6648,29.0,29.0,29.0,29.0,29.0,29.0,53.527,53.527,53.527,53.527,53.527,53.527,66.888,66.888,66.888,66.888,66.888,66.888,86.5,86.5,86.5,86.5,86.5
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_24_47,24,24,47,14400,28200,0,1,0,0,29.0,29.0,29.0,29.0,29.0,29.0,53.527,53.527,53.527,53.527,53.527,53.527,66.888,66.888,66.888,66.888,66.888,66.888,86.5,86.5,86.5,86.5,86.5,86.5
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_25_48,24,25,48,15000,28800,0,1,0,0,29.0,29.0,29.0,29.0,29.0,53.527,53.527,53.527,53.527,53.527,53.527,66.888,66.888,66.888,66.888,66.888,66.888,86.5,86.5,86.5,86.5,86.5,86.5,113.1
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_26_49,24,26,49,15600,29400,0,1,0,0,29.0,29.0,29.0,29.0,53.527,53.527,53.527,53.527,53.527,53.527,66.888,66.888,66.888,66.888,66.888,66.888,86.5,86.5,86.5,86.5,86.5,86.5,113.1,113.1
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_27_50,24,27,50,16200,30000,0,1,0,0,29.0,29.0,29.0,53.527,53.527,53.527,53.527,53.527,53.527,66.888,66.888,66.888,66.888,66.888,66.888,86.5,86.5,86.5,86.5,86.5,86.5,113.1,113.1,113.1
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_28_51,24,28,51,16800,30600,0,1,0,0,29.0,29.0,53.527,53.527,53.527,53.527,53.527,53.527,66.888,66.888,66.888,66.888,66.888,66.888,86.5,86.5,86.5,86.5,86.5,86.5,113.1,113.1,113.1,113.1
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_29_52,24,29,52,17400,31200,0,1,0,0,29.0,53.527,53.527,53.527,53.527,53.527,53.527,66.888,66.888,66.888,66.888,66.888,66.888,86.5,86.5,86.5,86.5,86.5,86.5,113.1,113.1,113.1,113.1,113.1
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_30_53,24,30,53,18000,31800,0,1,0,0,53.527,53.527,53.527,53.527,53.527,53.527,66.888,66.888,66.888,66.888,66.888,66.888,86.5,86.5,86.5,86.5,86.5,86.5,113.1,113.1,113.1,113.1,113.1,113.1
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_31_54,24,31,54,18600,32400,0,1,0,0,53.527,53.527,53.527,53.527,53.527,66.888,66.888,66.888,66.888,66.888,66.888,86.5,86.5,86.5,86.5,86.5,86.5,113.1,113.1,113.1,113.1,113.1,113.1,91.068
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_32_55,24,32,55,19200,33000,0,1,0,0,53.527,53.527,53.527,53.527,66.888,66.888,66.888,66.888,66.888,66.888,86.5,86.5,86.5,86.5,86.5,86.5,113.1,113.1,113.1,113.1,113.1,113.1,91.068,91.068
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_33_56,24,33,56,19800,33600,0,1,0,0,53.527,53.527,53.527,66.888,66.888,66.888,66.888,66.888,66.888,86.5,86.5,86.5,86.5,86.5,86.5,113.1,113.1,113.1,113.1,113.1,113.1,91.068,91.068,91.068
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_34_57,24,34,57,20400,34200,0,1,0,0,53.527,53.527,66.888,66.888,66.888,66.888,66.888,66.888,86.5,86.5,86.5,86.5,86.5,86.5,113.1,113.1,113.1,113.1,113.1,113.1,91.068,91.068,91.068,91.068
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_35_58,24,35,58,21000,34800,0,1,0,0,53.527,66.888,66.888,66.888,66.888,66.888,66.888,86.5,86.5,86.5,86.5,86.5,86.5,113.1,113.1,113.1,113.1,113.1,113.1,91.068,91.068,91.068,91.068,91.068
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_36_59,24,36,59,21600,35400,0,1,0,0,66.888,66.888,66.888,66.888,66.888,66.888,86.5,86.5,86.5,86.5,86.5,86.5,113.1,113.1,113.1,113.1,113.1,113.1,91.068,91.068,91.068,91.068,91.068,91.068
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_37_60,24,37,60,22200,36000,0,1,0,0,66.888,66.888,66.888,66.888,66.888,86.5,86.5,86.5,86.5,86.5,86.5,113.1,113.1,113.1,113.1,113.1,113.1,91.068,91.068,91.068,91.068,91.068,91.068,83.246
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_38_61,24,38,61,22800,36600,0,1,0,0,66.888,66.888,66.888,66.888,86.5,86.5,86.5,86.5,86.5,86.5,113.1,113.1,113.1,113.1,113.1,113.1,91.068,91.068,91.068,91.068,91.068,91.068,83.246,83.246
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_39_62,24,39,62,23400,37200,0,1,0,0,66.888,66.888,66.888,86.5,86.5,86.5,86.5,86.5,86.5,113.1,113.1,113.1,113.1,113.1,113.1,91.068,91.068,91.068,91.068,91.068,91.068,83.246,83.246,83.246
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_40_63,24,40,63,24000,37800,0,1,0,0,66.888,66.888,86.5,86.5,86.5,86.5,86.5,86.5,113.1,113.1,113.1,113.1,113.1,113.1,91.068,91.068,91.068,91.068,91.068,91.068,83.246,83.246,83.246,83.246
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_41_64,24,41,64,24600,38400,0,1,0,0,66.888,86.5,86.5,86.5,86.5,86.5,86.5,113.1,113.1,113.1,113.1,113.1,113.1,91.068,91.068,91.068,91.068,91.068,91.068,83.246,83.246,83.246,83.246,83.246
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_42_65,24,42,65,25200,39000,0,1,0,0,86.5,86.5,86.5,86.5,86.5,86.5,113.1,113.1,113.1,113.1,113.1,113.1,91.068,91.068,91.068,91.068,91.068,91.068,83.246,83.246,83.246,83.246,83.246,83.246
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_43_66,24,43,66,25800,39600,0,1,0,0,86.5,86.5,86.5,86.5,86.5,113.1,113.1,113.1,113.1,113.1,113.1,91.068,91.068,91.068,91.068,91.068,91.068,83.246,83.246,83.246,83.246,83.246,83.246,94.5
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_44_67,24,44,67,26400,40200,0,1,0,0,86.5,86.5,86.5,86.5,113.1,113.1,113.1,113.1,113.1,113.1,91.068,91.068,91.068,91.068,91.068,91.068,83.246,83.246,83.246,83.246,83.246,83.246,94.5,94.5
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_45_68,24,45,68,27000,40800,0,1,0,0,86.5,86.5,86.5,113.1,113.1,113.1,113.1,113.1,113.1,91.068,91.068,91.068,91.068,91.068,91.068,83.246,83.246,83.246,83.246,83.246,83.246,94.5,94.5,94.5
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_46_69,24,46,69,27600,41400,0,1,0,0,86.5,86.5,113.1,113.1,113.1,113.1,113.1,113.1,91.068,91.068,91.068,91.068,91.068,91.068,83.246,83.246,83.246,83.246,83.246,83.246,94.5,94.5,94.5,94.5
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_47_70,24,47,70,28200,42000,0,1,0,0,86.5,113.1,113.1,113.1,113.1,113.1,113.1,91.068,91.068,91.068,91.068,91.068,91.068,83.246,83.246,83.246,83.246,83.246,83.246,94.5,94.5,94.5,94.5,94.5
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_48_71,24,48,71,28800,42600,0,1,0,0,113.1,113.1,113.1,113.1,113.1,113.1,91.068,91.068,91.068,91.068,91.068,91.068,83.246,83.246,83.246,83.246,83.246,83.246,94.5,94.5,94.5,94.5,94.5,94.5
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_49_72,24,49,72,29400,43200,0,1,0,0,113.1,113.1,113.1,113.1,113.1,91.068,91.068,91.068,91.068,91.068,91.068,83.246,83.246,83.246,83.246,83.246,83.246,94.5,94.5,94.5,94.5,94.5,94.5,120.16
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_50_73,24,50,73,30000,43800,0,1,0,0,113.1,113.1,113.1,113.1,91.068,91.068,91.068,91.068,91.068,91.068,83.246,83.246,83.246,83.246,83.246,83.246,94.5,94.5,94.5,94.5,94.5,94.5,120.16,120.16
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_51_74,24,51,74,30600,44400,0,1,0,0,113.1,113.1,113.1,91.068,91.068,91.068,91.068,91.068,91.068,83.246,83.246,83.246,83.246,83.246,83.246,94.5,94.5,94.5,94.5,94.5,94.5,120.16,120.16,120.16
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_52_75,24,52,75,31200,45000,0,1,0,0,113.1,113.1,91.068,91.068,91.068,91.068,91.068,91.068,83.246,83.246,83.246,83.246,83.246,83.246,94.5,94.5,94.5,94.5,94.5,94.5,120.16,120.16,120.16,120.16
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_53_76,24,53,76,31800,45600,0,1,0,0,113.1,91.068,91.068,91.068,91.068,91.068,91.068,83.246,83.246,83.246,83.246,83.246,83.246,94.5,94.5,94.5,94.5,94.5,94.5,120.16,120.16,120.16,120.16,120.16
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_54_77,24,54,77,32400,46200,0,1,0,0,91.068,91.068,91.068,91.068,91.068,91.068,83.246,83.246,83.246,83.246,83.246,83.246,94.5,94.5,94.5,94.5,94.5,94.5,120.16,120.16,120.16,120.16,120.16,120.16
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_55_78,24,55,78,33000,46800,0,1,0,0,91.068,91.068,91.068,91.068,91.068,83.246,83.246,83.246,83.246,83.246,83.246,94.5,94.5,94.5,94.5,94.5,94.5,120.16,120.16,120.16,120.16,120.16,120.16,127.0
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_56_79,24,56,79,33600,47400,0,1,0,0,91.068,91.068,91.068,91.068,83.246,83.246,83.246,83.246,83.246,83.246,94.5,94.5,94.5,94.5,94.5,94.5,120.16,120.16,120.16,120.16,120.16,120.16,127.0,127.0
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_57_80,24,57,80,34200,48000,0,1,0,0,91.068,91.068,91.068,83.246,83.246,83.246,83.246,83.246,83.246,94.5,94.5,94.5,94.5,94.5,94.5,120.16,120.16,120.16,120.16,120.16,120.16,127.0,127.0,127.0
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_58_81,24,58,81,34800,48600,0,1,0,0,91.068,91.068,83.246,83.246,83.246,83.246,83.246,83.246,94.5,94.5,94.5,94.5,94.5,94.5,120.16,120.16,120.16,120.16,120.16,120.16,127.0,127.0,127.0,127.0
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_59_82,24,59,82,35400,49200,0,1,0,0,91.068,83.246,83.246,83.246,83.246,83.246,83.246,94.5,94.5,94.5,94.5,94.5,94.5,120.16,120.16,120.16,120.16,120.16,120.16,127.0,127.0,127.0,127.0,127.0
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_60_83,24,60,83,36000,49800,0,1,0,0,83.246,83.246,83.246,83.246,83.246,83.246,94.5,94.5,94.5,94.5,94.5,94.5,120.16,120.16,120.16,120.16,120.16,120.16,127.0,127.0,127.0,127.0,127.0,127.0
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_61_84,24,61,84,36600,50400,0,1,0,0,83.246,83.246,83.246,83.246,83.246,94.5,94.5,94.5,94.5,94.5,94.5,120.16,120.16,120.16,120.16,120.16,120.16,127.0,127.0,127.0,127.0,127.0,127.0,123.5
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_62_85,24,62,85,37200,51000,0,1,0,0,83.246,83.246,83.246,83.246,94.5,94.5,94.5,94.5,94.5,94.5,120.16,120.16,120.16,120.16,120.16,120.16,127.0,127.0,127.0,127.0,127.0,127.0,123.5,123.5
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_63_86,24,63,86,37800,51600,0,1,0,0,83.246,83.246,83.246,94.5,94.5,94.5,94.5,94.5,94.5,120.16,120.16,120.16,120.16,120.16,120.16,127.0,127.0,127.0,127.0,127.0,127.0,123.5,123.5,123.5
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_64_87,24,64,87,38400,52200,0,1,0,0,83.246,83.246,94.5,94.5,94.5,94.5,94.5,94.5,120.16,120.16,120.16,120.16,120.16,120.16,127.0,127.0,127.0,127.0,127.0,127.0,123.5,123.5,123.5,123.5
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_65_88,24,65,88,39000,52800,0,1,0,0,83.246,94.5,94.5,94.5,94.5,94.5,94.5,120.16,120.16,120.16,120.16,120.16,120.16,127.0,127.0,127.0,127.0,127.0,127.0,123.5,123.5,123.5,123.5,123.5
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_66_89,24,66,89,39600,53400,0,1,0,0,94.5,94.5,94.5,94.5,94.5,94.5,120.16,120.16,120.16,120.16,120.16,120.16,127.0,127.0,127.0,127.0,127.0,127.0,123.5,123.5,123.5,123.5,123.5,123.5
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_67_90,24,67,90,40200,54000,0,1,0,0,94.5,94.5,94.5,94.5,94.5,120.16,120.16,120.16,120.16,120.16,120.16,127.0,127.0,127.0,127.0,127.0,127.0,123.5,123.5,123.5,123.5,123.5,123.5,123.81
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_68_91,24,68,91,40800,54600,0,1,0,0,94.5,94.5,94.5,94.5,120.16,120.16,120.16,120.16,120.16,120.16,127.0,127.0,127.0,127.0,127.0,127.0,123.5,123.5,123.5,123.5,123.5,123.5,123.81,123.81
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_69_92,24,69,92,41400,55200,0,1,0,0,94.5,94.5,94.5,120.16,120.16,120.16,120.16,120.16,120.16,127.0,127.0,127.0,127.0,127.0,127.0,123.5,123.5,123.5,123.5,123.5,123.5,123.81,123.81,123.81
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_70_93,24,70,93,42000,55800,0,1,0,0,94.5,94.5,120.16,120.16,120.16,120.16,120.16,120.16,127.0,127.0,127.0,127.0,127.0,127.0,123.5,123.5,123.5,123.5,123.5,123.5,123.81,123.81,123.81,123.81
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_71_94,24,71,94,42600,56400,0,1,0,0,94.5,120.16,120.16,120.16,120.16,120.16,120.16,127.0,127.0,127.0,127.0,127.0,127.0,123.5,123.5,123.5,123.5,123.5,123.5,123.81,123.81,123.81,123.81,123.81
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_72_95,24,72,95,43200,57000,0,1,0,0,120.16,120.16,120.16,120.16,120.16,120.16,127.0,127.0,127.0,127.0,127.0,127.0,123.5,123.5,123.5,123.5,123.5,123.5,123.81,123.81,123.81,123.81,123.81,123.81
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_73_96,24,73,96,43800,57600,0,1,0,0,120.16,120.16,120.16,120.16,120.16,127.0,127.0,127.0,127.0,127.0,127.0,123.5,123.5,123.5,123.5,123.5,123.5,123.81,123.81,123.81,123.81,123.81,123.81,127.29
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_74_97,24,74,97,44400,58200,0,1,0,0,120.16,120.16,120.16,120.16,127.0,127.0,127.0,127.0,127.0,127.0,123.5,123.5,123.5,123.5,123.5,123.5,123.81,123.81,123.81,123.81,123.81,123.81,127.29,127.29
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_75_98,24,75,98,45000,58800,0,1,0,0,120.16,120.16,120.16,127.0,127.0,127.0,127.0,127.0,127.0,123.5,123.5,123.5,123.5,123.5,123.5,123.81,123.81,123.81,123.81,123.81,123.81,127.29,127.29,127.29
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_76_99,24,76,99,45600,59400,0,1,0,0,120.16,120.16,127.0,127.0,127.0,127.0,127.0,127.0,123.5,123.5,123.5,123.5,123.5,123.5,123.81,123.81,123.81,123.81,123.81,123.81,127.29,127.29,127.29,127.29
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_77_100,24,77,100,46200,60000,0,1,0,0,120.16,127.0,127.0,127.0,127.0,127.0,127.0,123.5,123.5,123.5,123.5,123.5,123.5,123.81,123.81,123.81,123.81,123.81,123.81,127.29,127.29,127.29,127.29,127.29
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_78_101,24,78,101,46800,60600,0,1,0,0,127.0,127.0,127.0,127.0,127.0,127.0,123.5,123.5,123.5,123.5,123.5,123.5,123.81,123.81,123.81,123.81,123.81,123.81,127.29,127.29,127.29,127.29,127.29,127.29
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_79_102,24,79,102,47400,61200,0,1,0,0,127.0,127.0,127.0,127.0,127.0,123.5,123.5,123.5,123.5,123.5,123.5,123.81,123.81,123.81,123.81,123.81,123.81,127.29,127.29,127.29,127.29,127.29,127.29,130.0
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_80_103,24,80,103,48000,61800,0,1,0,0,127.0,127.0,127.0,127.0,123.5,123.5,123.5,123.5,123.5,123.5,123.81,123.81,123.81,123.81,123.81,123.81,127.29,127.29,127.29,127.29,127.29,127.29,130.0,130.0
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_81_104,24,81,104,48600,62400,0,1,0,0,127.0,127.0,127.0,123.5,123.5,123.5,123.5,123.5,123.5,123.81,123.81,123.81,123.81,123.81,123.81,127.29,127.29,127.29,127.29,127.29,127.29,130.0,130.0,130.0
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_82_105,24,82,105,49200,63000,0,1,0,0,127.0,127.0,123.5,123.5,123.5,123.5,123.5,123.5,123.81,123.81,123.81,123.81,123.81,123.81,127.29,127.29,127.29,127.29,127.29,127.29,130.0,130.0,130.0,130.0
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_83_106,24,83,106,49800,63600,0,1,0,0,127.0,123.5,123.5,123.5,123.5,123.5,123.5,123.81,123.81,123.81,123.81,123.81,123.81,127.29,127.29,127.29,127.29,127.29,127.29,130.0,130.0,130.0,130.0,130.0
test,2,data_2.csv,normal,N2,V_N2,leak_downstream_N2,2_N2_84_107,24,84,107,50400,64200,0,1,0,0,123.5,123.5,123.5,123.5,123.5,123.5,123.81,123.81,123.81,123.81,123.81,123.81,127.29,127.29,127.29,127.29,127.29,127.29,130.0,130.0,130.0,130.0,130.0,130.0
